level,ts_id
Institutions,0
Institutions,7
Institutions,9
Institutions,10
Institutions,12
Institutions,15
Institutions,23
Institutions,39
Institutions,41
Institutions,48
Institutions,50
Institutions,53
Institutions,63
Institutions,95
Institutions,100
Institutions,102
Institutions,127
Institutions,147
Institutions,161
Institutions,175
Institutions,186
Institutions,206
Institutions,216
Institutions,228
Institutions,240
Subnets,0
Subnets,17
Subnets,91
Subnets,130
Subnets,136
Subnets,141
Subnets,148
Subnets,181
Subnets,184
Subnets,200
Subnets,241
Subnets,244
Subnets,250
Subnets,253
Subnets,261
Subnets,264
Subnets,315
Subnets,318
Subnets,321
Subnets,350
Subnets,381
Subnets,397
Subnets,438
Subnets,440
Subnets,445
IPs,83
IPs,2938
IPs,3052
IPs,3135
IPs,4729
IPs,4897
IPs,15032
IPs,17447
IPs,17669
IPs,18214
IPs,26685
IPs,36509
IPs,38586
IPs,40138
IPs,53602
IPs,77052
IPs,78489
IPs,99092
IPs,122315
IPs,186070
IPs,204405
IPs,349693
IPs,435318
IPs,747744
IPs,1544688
