level,ts_id
Institutions,4
Institutions,9
Institutions,20
Institutions,26
Institutions,56
Institutions,63
Institutions,70
Institutions,89
Institutions,90
Institutions,99
Institutions,118
Institutions,127
Institutions,132
Institutions,137
Institutions,144
Institutions,154
Institutions,172
Institutions,182
Institutions,185
Institutions,209
Institutions,213
Institutions,238
Institutions,251
Institutions,261
Institutions,269
Subnets,26
Subnets,43
Subnets,48
Subnets,96
Subnets,133
Subnets,143
Subnets,149
Subnets,171
Subnets,241
Subnets,264
Subnets,280
Subnets,353
Subnets,363
Subnets,373
Subnets,408
Subnets,419
Subnets,444
Subnets,457
Subnets,460
Subnets,475
Subnets,477
Subnets,498
Subnets,501
Subnets,523
Subnets,533
IPs,1367
IPs,1368
IPs,1605
IPs,1774
IPs,3271
IPs,10396
IPs,11254
IPs,41990
IPs,43611
IPs,44252
IPs,75195
IPs,121596
IPs,125740
IPs,132509
IPs,149504
IPs,195100
IPs,242764
IPs,300547
IPs,322201
IPs,512788
IPs,565727
IPs,617662
IPs,745827
IPs,756220
IPs,783215
